Var1,Var2,R value,P value
C_C,C_C,1.000000000,0.000000000
C_C,C_SI,0.211620000,0.037914184
C_C,C_MN,0.113790000,0.264388903
C_C,C_P,-0.401600000,0.693664430
C_C,C_S1,0.216450000,0.033739630
C_C,C_V,-0.227590000,0.025583901
C_C,C_TI,-0.618100000,0.544360443
C_C,C_CR,0.175370000,0.085406167
C_C,C_NI,0.131670000,0.196543237
C_C,C_CAO,-0.708300000,0.487241684
C_C,C_SIO2,0.165640000,0.104228026
C_C,C_MGO,0.972800000,0.340015023
C_C,C_AL2O3,-0.358000000,0.725495231
C_C,C_FEO,0.239560000,0.018777501
C_C,C_S2,-0.546400000,0.592022185
C_C,C_TIO2,-0.136880000,0.179411598
C_C,C_V2O5,0.171260000,0.092991371
C_C,BA,0.165800000,0.870821437
C_C,CCO,-0.553500000,0.587218143
C_C,CCO2,0.182150000,0.073992764
C_C,CH2,-0.877000000,0.389695446
C_C,CN2,0.102060000,0.316816728
C_C,C_CH4,-0.516900000,0.612173065
C_C,FOCA,0.104340000,0.306126009
C_C,POCA,-0.147500000,0.147968446
C_C,OEF,-0.587000000,0.564798383
C_C,OEP,0.000000000,1.000000000
C_C,TOHA,0.000000000,1.000000000
C_C,POHA,0.236510000,0.020341305
C_C,AWS,-0.127800000,0.210023274
C_C,FOCW,0.592100000,0.561421668
C_C,BKE,0.280900000,0.782928597
C_C,FOTCW,0.000000000,1.000000000
C_C,CIV,-0.392700000,0.700120423
C_C,FS,0.729900000,0.474060188
C_C,FA,-0.498800000,0.624685000
C_C,NOCR,0.000000000,1.000000000
C_C,BWOO,0.000000000,1.000000000
C_C,BWOC,0.139800000,0.890940229
C_C,TOMI,-0.341290000,0.000813045
C_C,TFP,-0.559800000,0.582970573
C_C,TFT,-0.319500000,0.754004615
C_C,SPOF,-0.870000000,0.993191832
C_C,PDOIF,-0.172440000,0.090760264
C_C,PDOUF,-0.106730000,0.295179139
C_C,PDOCF,-0.242770000,0.017246222
C_C,OER,-0.232740000,0.022430308
C_C,TCT,-0.217280000,0.033063350
C_C,UROCG,0.635600000,0.533023842
C_C,BGV,0.100610000,0.323741532
C_C,TLOF,-0.190030000,0.062326693
C_C,API,0.122440000,0.229780335
C_C,TOCW,-0.828400000,0.416504334
C_C,SWS,-0.671200000,0.510336386
C_C,FOCG,0.000000000,1.000000000
C_C,ABT,0.740000000,0.467964511
C_C,VST,0.000000000,1.000000000
C_SI,C_C,0.211620000,0.037914184
C_SI,C_SI,1.000000000,0.000000000
C_SI,C_MN,0.154700000,0.129172362
C_SI,C_P,0.340600000,0.738335632
C_SI,C_S1,0.848912000,0.000000000
C_SI,C_V,-0.153800000,0.880097461
C_SI,C_TI,-0.102590000,0.314310019
C_SI,C_CR,-0.425400000,0.676510063
C_SI,C_NI,0.106580000,0.295858372
C_SI,C_CAO,0.942000000,0.926387799
C_SI,C_SIO2,-0.175850000,0.084553887
C_SI,C_MGO,0.104860000,0.303721654
C_SI,C_AL2O3,0.635600000,0.533023842
C_SI,C_FEO,0.849572000,0.000000000
C_SI,C_S2,0.685900000,0.501117732
C_SI,C_TIO2,-0.713200000,0.484234191
C_SI,C_V2O5,-0.103720000,0.309009184
C_SI,BA,-0.333700000,0.743448025
C_SI,CCO,-0.248060000,0.014960935
C_SI,CCO2,0.359810000,0.000415363
C_SI,CH2,0.619600000,0.543384058
C_SI,CN2,-0.303100000,0.766254060
C_SI,C_CH4,0.980300000,0.336304833
C_SI,FOCA,0.447930000,0.000011054
C_SI,POCA,-0.394113000,0.000000000
C_SI,OEF,-0.172930000,0.089846528
C_SI,OEP,0.000000000,1.000000000
C_SI,TOHA,0.000000000,1.000000000
C_SI,POHA,-0.837400000,0.411459257
C_SI,AWS,-0.494690000,0.000001205
C_SI,FOCW,0.727000000,0.943156227
