spec,env,r,p
EFOCG_EDG,C_SI,-0.058995000,0.000000010
EFOCG_EDG,C_S1,-0.084195000,0.000000000
EFOCG_EDG,C_SIO2,0.028508000,0.005169330
EFOCG_EDG,C_FEO,-0.085530000,0.000000000
EFOCG_EDG,C_V2O5,-0.023443000,0.021484430
EFOCG_EDG,CCO,-0.042383000,0.000032060
EFOCG_EDG,CCO2,-0.657203000,0.000000000
EFOCG_EDG,FOCA,0.042159000,0.000035290
EFOCG_EDG,AWS,0.915040000,0.000000000
EFOCG_EDG,FS,0.030235000,0.003019050
EFOCG_EDG,TOMI,0.023655000,0.020330760
EFOCG_EDG,TFP,0.347765000,0.000000000
EFOCG_EDG,TFT,0.355034000,0.000000000
EFOCG_EDG,SPOF,0.612872000,0.000000000
EFOCG_EDG,PDOIF,-0.050166000,0.000000850
EFOCG_EDG,PDOUF,0.644684000,0.000000000
EFOCG_EDG,OER,0.027200000,0.007630140
EFOCG_EDG,TCT,0.065873000,0.000000000
EFOCG_EDG,UROCG,-0.642608000,0.000000000
EFOCG_EDG,API,0.055992000,0.000000040
EFOCG_EDG,TOCW,0.425198000,0.000000000
EFOCG_CEN,C_SI,-0.037368000,0.000246430
EFOCG_CEN,C_S1,-0.051579000,0.000000420
EFOCG_CEN,C_NI,0.021944000,0.031375440
EFOCG_CEN,C_FEO,-0.053388000,0.000000160
EFOCG_CEN,CCO,0.870745000,0.000000000
EFOCG_CEN,CCO2,0.028460000,0.005244660
EFOCG_CEN,FOCA,0.029903000,0.003354850
EFOCG_CEN,POCA,0.156601000,0.000000000
EFOCG_CEN,AWS,-0.034602000,0.000687910
EFOCG_CEN,FS,0.022824000,0.025181670
EFOCG_CEN,TOMI,0.023365000,0.021922760
EFOCG_CEN,TFT,-0.178796000,0.000000000
EFOCG_CEN,SPOF,-0.396162000,0.000000000
EFOCG_CEN,PDOIF,0.340781000,0.000000000
EFOCG_CEN,PDOUF,-0.029864000,0.003396350
EFOCG_CEN,TCT,0.040101000,0.000083450
EFOCG_CEN,UROCG,-0.544480000,0.000000000
EFOCG_CEN,API,-0.155819000,0.000000000
EFOCG_CEN,SWS,0.796434000,0.000000000
EFOCG_CEN,ABT,0.021522000,0.034780260
CI,C_SI,-0.026856000,0.008433560
CI,C_S1,-0.039721000,0.000097430
CI,C_FEO,-0.036985000,0.000285250
CI,POCA,-0.345604000,0.000000000
CI,AWS,-0.021090000,0.038593580
CI,TFP,-0.153115000,0.000000000
CI,TFT,-0.350395000,0.000000000
CI,SPOF,-0.252680000,0.000000000
CI,PDOIF,-0.116134000,0.000000000
CI,PDOUF,-0.269012000,0.000000000
CI,PDOCF,-0.029648000,0.003635580
CI,TCT,0.030859000,0.002469630
CI,UROCG,0.049098000,0.000001450
CI,API,-0.072780000,0.000000000
CI,ABT,0.022796000,0.025362520
DSL,C_SI,-0.036016000,0.000410620
DSL,C_S1,-0.048354000,0.000002090
DSL,C_FEO,-0.052279000,0.000000290
DSL,C_TIO2,0.020432000,0.045072140
DSL,CCO,-0.029266000,0.004095370
DSL,CCO2,0.024438000,0.016530030
DSL,FOCA,0.024551000,0.016035820
DSL,AWS,-0.026068000,0.010560220
DSL,FS,-0.974879000,0.000000000
DSL,TOMI,0.031383000,0.002080950
DSL,TFP,0.384574000,0.000000000
DSL,TFT,0.418934000,0.000000000
DSL,PDOIF,-0.029817000,0.003446730
DSL,PDOUF,-0.028932000,0.004540190
DSL,TCT,0.050579000,0.000000690
DSL,UROCG,-0.176145000,0.000000000
DSL,API,0.032057000,0.001663340
