Var1,Var2,R value,P value
C_C,C_C,1.000000000,0.000000000
C_C,C_SI,-0.216043200,0.832207433
C_C,C_MN,-0.535376100,0.599554699
C_C,C_P,0.284933900,0.779913368
C_C,C_S1,0.155889900,0.878493257
C_C,C_CU,-0.129838220,0.202889537
C_C,C_MO,0.328942000,0.974265535
C_C,C_CAO,-0.525872800,0.606049275
C_C,C_SIO2,-0.168767540,0.097883580
C_C,C_MGO,0.100279860,0.325382154
C_C,C_AL2O3,0.114966670,0.259530214
C_C,C_FEO,0.826387000,0.935407921
C_C,C_S2,0.213158400,0.036558779
C_C,BA,0.112001290,0.272021883
C_C,CCO,-0.720263000,0.479962560
C_C,CCO2,-0.712443500,0.484743250
C_C,CH2,0.234663700,0.817988949
C_C,CN2,-0.459086900,0.652549229
C_C,C_SO2,0.303134500,0.766251841
C_C,PE,0.101759340,0.318294847
C_C,FOCA,0.821243100,0.420590487
C_C,POCA,0.244792600,0.810279379
C_C,OEF,0.182925810,0.072799996
C_C,OEP,0.102081590,0.316764697
C_C,TOHA,-0.720767300,0.479655085
C_C,POHA,0.198203890,0.051901024
C_C,AWS,0.568116800,0.577424871
C_C,FOCW,0.246345500,0.809098963
C_C,BKE,0.250012240,0.014197600
C_C,FOTCW,0.519149700,0.610662810
C_C,CIV,0.168861080,0.097697653
C_C,FS,0.596094500,0.558824646
C_C,FA,0.168554840,0.098307384
C_C,NOCR,0.576914000,0.571544927
C_C,BWOO,-0.129828340,0.202923918
C_C,BWOC,0.173545400,0.864857460
C_C,TOMI,0.251126900,0.805467317
C_C,TFP,-0.594567300,0.559832397
C_C,TFT,0.430860300,0.672629687
C_C,SPOF,0.473688700,0.642258294
C_C,PDOIF,-0.446347400,0.661582071
C_C,PDOUF,0.590851800,0.562287840
C_C,PDOCF,-0.200665100,0.843991748
C_C,OER,0.402446800,0.693081591
C_C,TCT,0.408280900,0.688863356
C_C,UROCG,0.176761900,0.862377473
C_C,BGV,0.167018900,0.869893586
C_C,TLOF,0.309483000,0.975787446
C_C,API,0.554974000,0.956596063
C_C,TOCW,0.391400000,0.996937431
C_C,SWS,0.339762300,0.738981827
C_C,FOCG,-0.143666480,0.158837112
